survey,site,transect,density
2014,XL,1,0
2014,XL,2,2
2014,XL,3,8
2014,XL,4,1
2014,XL,5,2
2014,XL,6,6
2014,XL,7,1
2014,XL,8,0
2014,Tiger,1,0
2014,Tiger,2,0
2014,Tiger,3,0
2014,Tiger,4,1
2014,Tiger,5,2
2014,Tiger,6,0
2014,Tiger,7,1
2014,Tiger,8,4
2014,Reel Sticky,1,0
2014,Reel Sticky,2,0
2014,Reel Sticky,3,1
2014,Reel Sticky,4,0
2014,Reel Sticky,5,0
2014,Reel Sticky,6,0
2014,Dark Slime,1,0
2014,Dark Slime,2,0
2014,Dark Slime,3,0
2014,Dark Slime,4,0
2014,Dark Slime,5,0
2014,Dark Slime,6,0
2014,Dark Slime,1,0
2014,Dark Slime,2,0
2014,Dark Slime,3,0
2014,Dark Slime,4,0
2014,Dark Slime,5,0
2014,Dark Slime,6,0
2014,North Northeast,1,0
2014,North Northeast,2,0
2014,North Northeast,3,0
2014,North Northeast,4,0
2014,North Northeast,5,0
2014,North Northeast,6,0
2014,Angel,1,0
2014,Angel,2,0
2014,Angel,3,0
2014,Angel,4,0
2019,XL,1,1
2019,XL,4,0
2019,XL,3,0
2019,XL,4,2
2019,Tiger,1,3
2019,Tiger,2,4
2019,Tiger,3,3
2019,Tiger,0,0
2019,Reel Sticky,1,2
2019,Reel Sticky,2,2
2019,Reel Sticky,3,4
2019,Reel Sticky,4,2
2019,Dark Slime,1,1
2019,Dark Slime,2,3
2019,Dark Slime,3,0
2019,Dark Slime,4,0
2019,North Northeast,1,0
2019,North Northeast,2,3
2019,North Northeast,3,0
2019,North Northeast,4,0
2019,Angel,1,1
2019,Angel,2,0
2019,Angel,3,0
2019,Angel,4,0
