year,site,depth,species,transect,size,density,biomass,trophic_guild,family
2014,XL,10,Thalassoma bifasciatum,1,5,11,13.131,Omnivore,Labridae
2014,XL,10,Halichoeres maculipinna,1,10,1,16.589,Invertivore,Labridae
2014,XL,10,Cephalopholis fulva,1,15,1,44.193,Omnivore,Serranidae
2014,XL,10,Chaetodon capistratus,1,10,6,185.426,Invertivore,Chaetodontidae
2014,XL,10,Chaetodon capistratus,1,15,2,216.357,Invertivore,Chaetodontidae
2014,XL,10,Scarus taeniopterus,1,10,1,13.500,Herbivore,Scaridae
2014,XL,10,Canthigaster rostrata,1,5,3,9.595,Omnivore,Tetraodontidae
2014,XL,10,Sparisoma aurofrenatum,1,10,1,14.132,Herbivore,Scaridae
2014,XL,10,Thalassoma bifasciatum,2,5,18,21.488,Omnivore,Labridae
2014,XL,10,Thalassoma bifasciatum,2,10,3,28.650,Omnivore,Labridae
2014,XL,10,Chaetodon capistratus,2,10,7,216.330,Invertivore,Chaetodontidae
2014,XL,10,Scarus taeniopterus,2,5,1,1.688,Herbivore,Scaridae
2014,XL,10,Canthigaster rostrata,2,5,2,6.397,Omnivore,Tetraodontidae
2014,XL,10,Sparisoma aurofrenatum,2,5,2,3.251,Herbivore,Scaridae
2014,XL,10,Sparisoma aurofrenatum,2,10,1,14.132,Herbivore,Scaridae
2014,XL,10,Stegastes partitus,3,5,1,1.836,Omnivore,Pomacentridae
2014,XL,10,Thalassoma bifasciatum,3,5,16,19.100,Omnivore,Labridae
2014,XL,10,Thalassoma bifasciatum,3,10,1,9.550,Omnivore,Labridae
2014,XL,10,Chaetodon capistratus,3,10,4,123.617,Invertivore,Chaetodontidae
2014,XL,10,Chaetodon sedentarius,3,10,2,47.979,Invertivore,Chaetodontidae
2014,XL,10,Stegastes planifrons,3,10,2,39.906,Omnivore,Pomacentridae
2014,XL,10,Thalassoma bifasciatum,4,5,9,10.744,Omnivore,Labridae
2014,XL,10,Thalassoma bifasciatum,4,10,11,105.050,Omnivore,Labridae
2014,XL,10,Canthigaster rostrata,4,15,2,161.689,Omnivore,Tetraodontidae
2014,XL,10,Chaetodon capistratus,4,15,2,216.357,Invertivore,Chaetodontidae
2014,XL,10,Canthigaster rostrata,4,10,2,49.088,Omnivore,Tetraodontidae
2014,XL,10,Canthigaster rostrata,4,15,3,242.533,Omnivore,Tetraodontidae
2014,XL,10,Halochoeres garnoti,4,10,1,13.488,Invertivore,Labridae
2014,XL,10,Thalassoma bifasciatum,5,5,20,23.875,Omnivore,Labridae
2014,XL,10,Thalassoma bifasciatum,5,10,2,19.100,Omnivore,Labridae
2014,XL,10,Chaetodon capistratus,5,15,2,216.357,Invertivore,Chaetodontidae
2014,XL,10,Scarus taeniopterus,5,5,1,1.688,Herbivore,Scaridae
2014,XL,10,Scarus taeniopterus,5,10,2,27.000,Herbivore,Scaridae
2014,XL,10,Sparisoma aurofrenatum,5,10,1,14.132,Herbivore,Scaridae
2014,XL,10,Chaetodon sedentarius,5,15,2,163.249,Invertivore,Chaetodontidae
2014,XL,10,Halochoeres garnoti,5,10,2,26.976,Invertivore,Labridae
2014,XL,10,Thalassoma bifasciatum,6,5,23,27.456,Omnivore,Labridae
2014,XL,10,Thalassoma bifasciatum,6,10,8,76.400,Omnivore,Labridae
2014,XL,10,Chaetodon capistratus,6,10,2,61.809,Invertivore,Chaetodontidae
2014,XL,10,Chaetodon capistratus,6,15,2,216.357,Invertivore,Chaetodontidae
2014,XL,10,Scarus taeniopterus,6,10,1,13.500,Herbivore,Scaridae
2014,XL,10,Canthigaster rostrata,6,10,2,49.088,Omnivore,Tetraodontidae
